,0,1,2,3,4,5,6,7
7410,"$3,200/mo",3 Bed Condo for Rent in River Valley Apartments,3 Beds,1 Bath,"1,066 sqft",Tanglin / Holland (D10),"['$3 psf', 'Ground', 'Partial', 'City view', '1970', 'Freehold', 'Condo', '6 hrs ago', '2, 3 BR', '24', '1970', 'Freehold']","['City view', 'Renovated', 'Aircon', 'Ground floor', 'Fridge', 'Washer']"
7411,"$2,500/mo",1 Bed Condo for Rent in Guillemard Suites,1 Bed,2 Baths,538 sqft,Eunos / Geylang / Paya Lebar (D14),"['$4.65 psf', 'High (5 total)', 'Fully', '2017', 'Freehold', 'Condo', '6 hrs ago', 'Studio, 1, 2, 3 BR', '146', '2017', 'Freehold', 'Mk25 Pte Ltd']","['Penthouse', 'Renovated', 'Aircon', 'Sofa', 'Tv', 'Dining room furniture', 'Stove', 'Timber deck', 'Fridge', 'Bed', 'Jacuzzi', 'Swimming pool', 'Wading pool', 'Dryer', 'Top floor', 'High floor', 'Washer', 'Closet', 'Gym', 'Bbq', 'Balcony']"
7412,"$3,200/mo",2 Bed Condo for Rent in Skysuites 17,2 Beds,2 Baths,614 sqft,Balestier / Toa Payoh (D12),"['$5.21 psf', 'Mid (30 total)', 'Fully', 'North South', '2014', 'Freehold', 'Condo', '6 hrs ago', '1, 2, 3, 4 BR', '105', '2014', 'Freehold', 'El Development (Balestier) Pte Ltd']","['Clubhouse', 'Jacuzzi', 'Parking', 'Mid floor', 'Balcony', 'Closet', 'Tv', 'Pool deck', 'Wading pool', 'Playground', 'Dining room furniture', 'Washer', 'Bbq', 'Gym', 'Fridge', 'Steam room', 'Aircon', 'Sofa', 'Bed', 'Spa pool', 'Security', 'Lap pool']"
7413,"$3,000/mo",2 Bed House for Rent in Little India Conservation Area,2 Beds,1 Bath,700 sqft (built-up),Farrer Park / Serangoon Rd (D8),"['$4.29 psf', '$4.29 psf', '6 hrs ago', '2, 4, 5 BR', '-']",[]
7414,"$1,600/mo",1 Bed Condo for Rent in Top Ten,1 Bed,3 Baths,150 sqft,Orchard / River Valley (D9),"['$10.67 psf', 'Fully', 'East', 'City view', '1989', 'Freehold', 'Condo', '6 hrs ago', '1, 3, 5 BR', '11', '1989', 'Freehold']","['City view', 'Closet', 'Aircon', 'Stove', 'Fridge', 'Bed', 'Oven', 'Dining room furniture', 'Washer']"
7415,"$3,200/mo",2 Bed Condo for Rent in Blue Horizon,2 Beds,2 Baths,904 sqft,Buona Vista / West Coast / Clementi (D5),"['$3.54 psf', 'High (24 total)', 'Fully', 'North South', 'City view', '2005', '99-year leasehold', 'Condo', '6 hrs ago', 'Studio, 2, 3, 4 BR', '616', '2005', '99 Years', 'Far East Organization']","['Clubhouse', 'Aerobic pool', 'Parking', 'Fun pool', 'Bomb shelter', 'Closet', 'Mini golf range', 'Tv', 'Pool deck', 'Driving range', 'Playground', 'Dining room furniture', 'Washer', 'Bbq', 'City view', 'Fridge', 'Steam room', 'Tennis court', 'Aircon', 'Bed', 'Swimming pool', 'Spa pool', 'Fitness corner', 'High floor', 'Security']"
7416,"$3,600/mo",1 Bed Condo for Rent in Icon,1 Bed,2 Baths,786 sqft,Chinatown / Tanjong Pagar (D2),"['$4.58 psf', '2007', '99-year leasehold', 'Apartment', '6 hrs ago', 'Studio, 1, 2, 3 BR', '646', '2007', '99 Years', 'Lucky Pinnacle Pte Ltd (Far East)']","['Clubhouse', 'Jet pool', 'Gym', 'Open terrace', 'Sauna', 'Hydrotherapy pool', 'Wading pool', 'Jacuzzi', 'Steam room', 'Tennis court', 'Security', 'Hydrotherapy pool', 'Lap pool', 'Bbq', 'Playground']"
7417,"$7,600/mo",4 Bed House for Rent in Century Woods,4 Beds,5 Baths,"3,600 sqft (built-up)",Admiralty / Woodlands (D25),"['$3.52 psf', '$3.52 psf', 'Partial', 'North', '2002', '99-year leasehold', '6 hrs ago', '4, 5, 6 BR', '99', '2002', '99 Years', 'Habigreen Properties Pte Ltd']","['Washer', 'Dryer', 'Fridge', 'Aircon']"
7418,"$3,700/mo",1 Bed Condo for Rent in 8 @ Mount Sophia,1 Bed,1 Bath,861 sqft,Orchard / River Valley (D9),"['$4.3 psf', '2007', '103-year leasehold', 'Condo', '6 hrs ago', '1, 2, 3, 4 BR', '313', '2007', '103 Years', 'Frasers Centrepoint Homes']","['Clubhouse', 'Gym', 'Steam room', 'Parking', 'Security', 'Lap pool']"
7419,"$3,800/mo",1 Bed Condo for Rent in Duo Residences / Duo Tower,1 Bed,1 Bath,646 sqft,Beach Road / Bugis / Rochor (D7),"['$5.88 psf', '2017', '99-year leasehold', 'Apartment', '6 hrs ago', 'Studio, 1, 2, 3, 4 BR', '660', '2017', '99 Years', 'M+S Pte Ltd (A Company Owned By Khazanah And Temasek)']","['Function room', 'Retail shops', 'Gym', 'Pool deck', 'Rooftop pool', 'Spa pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Viewing deck', 'Underwater fitness station', 'Outdoor dining', 'Sauna', 'Lap pool', 'Bbq', 'Open terrace']"
7420,"$17,000/mo",4 Bed Condo for Rent in Hilltops,4 Beds,4 Baths,"2,465 sqft",Orchard / River Valley (D9),"['$6.9 psf', 'Partial', '2011', 'Freehold', 'Condo', '6 hrs ago', '1, 2, 3, 4, 5 BR', '240', '2011', 'Freehold', 'Taraville Pte Ltd (Sc Global)']","['Clubhouse', 'Gym', 'Swimming pool', 'Parking', 'Security', 'Lap pool']"
7421,"$6,800/mo",2 Bed Condo for Rent in Helios Residences,2 Beds,2 Baths,"1,313 sqft",Orchard / River Valley (D9),"['$5.18 psf', '2011', 'Freehold', 'Apartment', '6 hrs ago', '2, 3, 4 BR', '140', '2011', 'Freehold', 'Winnervest Investment Pte Ltd (Wing Tai)']","['Clubhouse', 'Gym', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'Bbq']"
7422,"$3,800/mo",1 Bed Condo for Rent in OUE Twin Peaks,1 Bed,1 Bath,571 sqft,Orchard / River Valley (D9),"['$6.65 psf', 'Fully', '2014', '99-year leasehold', 'Condo', '6 hrs ago', 'Studio, 1, 2, 3, 4, 5 BR', '462', '2014', '99 Years', 'Cove Development Pte Ltd']","['Gym', 'Viewing deck', 'Swimming pool', 'Wading pool', 'Spa pool', 'Steam room', 'Playground', 'Parking', 'Security', 'Lap pool', 'Bbq', 'Tennis court']"
7423,"$4,500/mo",2 Bed Condo for Rent in The Inspira,2 Beds,2 Baths,936 sqft,Orchard / River Valley (D9),"['$4.81 psf', 'Partial', 'North East', 'City view', '2009', 'Freehold', 'Condo', '6 hrs ago', '1, 2, 3, 4 BR', '120', '2009', 'Freehold', 'Meadows Bright Development Pte Ltd (Tiong Aik)']","['Function room', 'Spa pavilion', 'Jacuzzi', 'Parking', 'Balcony', 'City view', 'Renovated', 'Wading pool', 'Playground', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Steam room', 'Underwater fitness station', 'Pool view', 'Aircon', 'Spa pool', 'Security', 'Bathtub', 'Lap pool']"
7424,"$4,500/mo",3 Bed Condo for Rent in The Bencoolen,3 Beds,2 Baths,"1,044 sqft",Beach Road / Bugis / Rochor (D7),"['$4.31 psf', '1998', '99-year leasehold', 'Apartment', '6 hrs ago', '2, 3, 4 BR', '94', '1998', '99 Years']","['Gym', 'Swimming pool', 'Tennis court', 'Parking', 'Security', 'Bbq']"
7425,"$3,000/mo",2 Bed Condo for Rent in Alexis,2 Beds,1 Bath,764 sqft,Alexandra / Commonwealth (D3),"['$3.93 psf', '2012', 'Freehold', 'Apartment', '6 hrs ago', 'Studio, 1, 2, 3, 4, 5 BR', '293', '2012', 'Freehold', 'Ec Prime Pte Ltd']","['Gym', 'Wading pool', 'Steam room', 'Parking', 'Security', 'Bbq']"
7426,"$2,500/mo",1 Bed Condo for Rent in Loft @ Holland,1 Bed,1 Bath,323 sqft,Tanglin / Holland (D10),"['$7.74 psf', 'Fully', 'City view', '2014', 'Freehold', 'Condo', '5 hrs ago', '1, 2 BR', '40', '2014', 'Freehold', 'Oxley Star Pte Ltd']","['City view', 'Security', 'Aircon', 'Closet', 'Tv', 'Sofa', 'Stove', 'Bomb shelter', 'Bed', 'Fridge', 'Walk in closet', 'Swimming pool', 'Dryer', 'Parking', 'Dining room furniture', 'Washer', 'Fibre ready', 'Lap pool', 'Gym']"
7427,"$2,700/mo",3 Bed House for Rent in Kampong Glam Conservation Area,3 Beds,1 Bath,"1,000 sqft (built-up)",Beach Road / Bugis / Rochor (D7),"['$2.7 psf', '$2.7 psf', '6 hrs ago', '1, 2, 3 BR', '-']","['Bed', 'Renovated', 'Aircon']"
7428,"$3,000/mo",2 Bed Condo for Rent in Sky Green,2 Beds,2 Baths,743 sqft,Macpherson / Potong Pasir (D13),"['$4.04 psf', '2016', 'Freehold', 'Condo', '6 hrs ago', 'Studio, 1, 2, 3, 4, 6 BR', '176', '2016', 'Freehold', 'Unique Realty Pte Ltd']","['Pool deck', 'Function room', 'Pavilion', 'Water feature', 'Yoga corner', 'Open terrace', 'Spa pavilion', 'Lounge', 'Spa pool', 'Playground', 'Parking', 'Outdoor dining', 'Sky terrace', 'Security', 'Bbq', 'Tennis court']"
7429,"$1,150/mo",1 Bed House for Rent in Kreta Ayer Conservation Area,1 Bed,1 Bath,200 sqft (built-up),Boat Quay / Raffles Place / Marina (D1),"['$5.75 psf', '$5.75 psf', 'Partial', 'Freehold', '6 hrs ago', '1 BR', 'Freehold']","['City view', 'Renovated', 'Aircon', 'Tv', 'Sofa', 'Bed']"
7430,"$2,500/mo",Studio Condo for Rent in Bijou,Studio,1 Bath,384 sqft,Buona Vista / West Coast / Clementi (D5),"['$6.51 psf', '2018', 'Freehold', 'Condo', '6 hrs ago', 'Studio, 1, 2, 3 BR', '120', '2018', 'Freehold']","['Closet', 'Aircon', 'Tv', 'Fridge', 'Bed', 'Dryer', 'Oven', 'Washer']"
