,0,1,2,3,4,5,6,7
0,"$17,000/mo",4 Bed Condo for Rent in Skypark,4 Beds,4 Baths,"3,347 sqft",Orchard / River Valley (D9),"['$5.08 psf', 'High (31 total)', 'Partial', 'City view', '2010', 'Freehold', 'Condo', '19 mins ago', '3, 4, 5 BR', '29', '2010', 'Freehold', 'Tg Development Pte Ltd']","['Duplex / maisonette', 'Water feature', 'High ceiling', 'Function room', 'Oven', 'Parking', 'Outdoor dining', 'Balcony', 'City view', 'Closet', 'Pool deck', 'Utility room', 'Gym', 'Fridge', 'Dryer', 'Pavilion', 'Aircon', 'Maid room', 'Open terrace', 'Swimming pool', 'Audio system', 'High floor', 'Security', 'Bathtub']"
1,"$3,200/mo",2 Bed Condo for Rent in Wilkie 48,2 Beds,2 Baths,893 sqft,Orchard / River Valley (D9),"['$3.58 psf', 'Mid', 'Partial', '1998', 'Freehold', 'Condo', '24 mins ago', 'Studio, 2 BR', '28', '1998', 'Freehold', 'Innovative Development Pte Ltd']","['Aircon', 'Closet', 'Stove', 'Fridge', 'Swimming pool', 'Dryer', 'Parking', 'Mid floor', 'Washer', 'Security']"
2,"$2,500/mo",1 Bed Condo for Rent in Espada,1 Bed,1 Bath,355 sqft,Orchard / River Valley (D9),"['$7.04 psf', 'High (32 total)', 'Fully', 'North East', 'City view', '2013', 'Freehold', 'Condo', '19 mins ago', 'Studio, 1, 2 BR', '232', '2013', 'Freehold', 'Novelty Orchard Development Pte Ltd']","['Clubhouse', 'Function room', 'Spa pavilion', 'Jacuzzi', 'Parking', 'Outdoor dining', 'Balcony', 'City view', 'Closet', 'Swimming pool', 'Tv', 'Pool deck', 'Wading pool', 'Playground', 'Washer', 'Bbq', 'Gym', 'Fridge', 'Dryer', 'Tennis court', 'Underwater fitness station', 'Reflexology path', 'Yoga corner', 'Aircon', 'Sofa', 'Billiards room', 'Bed', 'Aerobic pool', 'Fitness corner', 'High floor', 'Security', 'Lap pool']"
3,"$7,000/mo",3 Bed Condo for Rent in 8 St Thomas,3 Beds,2 Baths,"1,152 sqft",Orchard / River Valley (D9),"['$6.08 psf', 'Mid (35 total)', 'Unfurnished', 'Pool view', '2018', 'Freehold', 'Condo', '26 mins ago', '1, 2, 3, 4, 5 BR', '230', '2018', 'Freehold', 'Bukit Sembawang Estates Limited']","['Fitness corner', 'Fibre ready', 'Aircon', 'Closet', 'Water feature', 'Gym', 'Fridge', 'Spa pool', 'Function room', 'Steam room', 'Tennis court', 'Oven', 'Mid floor', 'Washer', 'Pool view', 'Lap pool', 'Security', 'Bbq', 'Balcony']"
4,"$12,000/mo",3 Bed Condo for Rent in 3 Orchard By-The-Park,3 Beds,3 Baths,"1,862 sqft",Tanglin / Holland (D10),"['$6.44 psf', 'High (25 total)', 'Partial', 'Greenery view', '2017', 'Freehold', 'Condo', '19 mins ago', '2, 3, 4, 5 BR', '77', '2017', 'Freehold']","['Lounge', 'Pool deck', 'Pavilion', 'Security', 'Greenery view', 'Open terrace', 'Library', 'Concierge', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Fountain', 'Parking', 'High floor', 'Outdoor dining', 'Gym', 'Balcony']"
5,"$3,050/mo",Studio Condo for Rent in Duo Residences / Duo Tower,Studio,1 Bath,527 sqft,[],"['$5.79 psf', 'High (31 total)', 'Fully', 'Sea view', '2017', '99-year leasehold', 'Apartment', '23 mins ago', 'Studio, 1, 2, 3, 4 BR', '660', '2017', '99 Years', 'M+S Pte Ltd (A Company Owned By Khazanah And Temasek)']","['Function room', 'Rooftop pool', 'Jacuzzi', 'Oven', 'Outdoor dining', 'Balcony', 'Closet', 'Tv', 'Pool deck', 'Wading pool', 'Spa pool', 'Playground', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Underwater fitness station', 'Aircon', 'Sofa', 'Open terrace', 'Bed', 'Viewing deck', 'Sea view', 'High floor', 'Retail shops', 'Lap pool']"
6,"$10,500/mo",5 Bed House for Rent in Greenwood Mews,5 Beds,4 Baths,"3,175 sqft (built-up)",Newton / Novena (D11),"['$3.31 psf', '$3.31 psf', 'Partial', '2016', '103-year leasehold', '24 mins ago', '4, 5 BR', '62', '2016', '103 Years', 'Golden Development Pte Ltd & Astoria Park Pte Ltd']","['Bomb shelter', 'Bathtub', 'Aircon', 'Dishwasher', 'Fridge', 'Oven', 'Washer', 'Patio / pes', 'Balcony']"
7,"$2,600/mo",Studio Condo for Rent in Seahill,Studio,1 Bath,495 sqft,Buona Vista / West Coast / Clementi (D5),"['$5.25 psf', 'Partial', 'South', 'Pool view', '2016', '99-year leasehold', 'Condo', '33 mins ago', 'Studio, 1, 2, 3, 4, 5, 6 BR', '338', '2016', '99 Years', 'Boo Han Holdings Pte Ltd']","['High ceiling', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Tv', 'Dining room furniture', 'Washer', 'Fibre ready', 'Gym', 'Fridge', 'Dryer', 'Pool view', 'Aircon', 'Sofa', 'Bed', 'Fitness corner', 'Security', 'Bathtub', 'Lap pool']"
8,"$3,500/mo",1 Bed Condo for Rent in Tiong Bahru Estate,1 Bed,1 Bath,550 sqft,Alexandra / Commonwealth (D3),"['$6.36 psf', 'Mid (5 total)', 'Fully', 'Greenery view', '99-year leasehold', 'Walk-up', '1 min ago', 'Studio, 1, 2, 3, 4, 5, 6, 9 BR', '99 Years']","['Renovated', 'High ceiling', 'Greenery view', 'Mid floor', 'Fibre ready', 'Balcony']"
9,"$3,200/mo",1 Bed Condo for Rent in The Levelz,1 Bed,1 Bath,786 sqft,Tanglin / Holland (D10),"['$4.07 psf', 'Low (12 total)', 'Fully', 'Pool view', '2004', 'Freehold', 'Condo', '30 mins ago', 'Studio, 1, 2 BR', '126', '2004', 'Freehold', 'Capitaland Residential']","['Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb shelter', 'Closet', 'Tv', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Low floor', 'Dryer', 'Tennis court', 'Pool view', 'Aircon', 'Sofa', 'Bed', 'Swimming pool', 'Study room', 'Fitness corner', 'Security', 'Bathtub']"
10,"$3,000/mo",2 Bed Condo for Rent in Regentville,2 Beds,2 Baths,980 sqft,Hougang / Punggol / Sengkang (D19),"['$3.06 psf', 'Fully', '2000', '99-year leasehold', 'Condo', '30 mins ago', '2, 3 BR', '580', '2000', '99 Years', 'Serenity Properties Pte Ltd (Far East Organization)']","['Fun pool', 'Clubhouse', 'Renovated', 'Aircon', 'Swimming pool', 'High ceiling', 'Gym', 'Timber deck', 'Fridge', 'Bed', 'Sauna', 'Tv', 'Wading pool', 'Playground', 'Parking', 'Dining room furniture', 'Security', 'Fibre ready', 'Bbq', 'Tennis court']"
11,"$2,800/mo",2 Bed Condo for Rent in The Tapestry,2 Beds,1 Bath,603 sqft,Pasir Ris / Tampines (D18),"['$4.64 psf', 'Low (15 total)', 'Partial', 'North South', 'Greenery view', '2021', '99-year leasehold', 'Condo', '32 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '861', '2021', '99 Years', 'City Developments Limited (CDL)']","['Jogging track', 'Oven', 'Pond', 'Outdoor dining', 'Balcony', 'Renovated', 'Greenery view', 'Pool deck', 'Lounge', 'Wading pool', 'Hydrotherapy pool', 'Playground', 'Washer', 'Bbq', 'Hydrotherapy pool', 'Gym', 'Fridge', 'Low floor', 'Dryer', 'Steam room', 'Tennis court', 'Infinity pool', 'Jet pool', 'Aircon', 'Hammocks', 'Sculpture', 'Viewing deck', 'Fitness corner', 'Security', 'Lap pool']"
12,"$11,500/mo",3 Bed Condo for Rent in The Claymore,3 Beds,3 Baths,"2,680 sqft",Orchard / River Valley (D9),"['$4.29 psf', 'Mid (26 total)', 'Partial', 'City view', '1985', 'Freehold', 'Condo', '27 mins ago', '3, 4, 5 BR', '146', '1985', 'Freehold', 'Tokyo Land Corporation Singapore Pte Ltd']","['Tennis court', 'City view', 'Security', 'Closet', 'Aircon', 'Maid room', 'Greenery view', 'Squash court', 'Dishwasher', 'Fridge', 'Swimming pool', 'Dryer', 'Playground', 'Oven', 'Parking', 'Mid floor', 'Washer', 'Gym', 'Bbq', 'Balcony']"
13,"$4,500/mo",2 Bed Condo for Rent in The Peak @ Cairnhill II,2 Beds,2 Baths,829 sqft,Orchard / River Valley (D9),"['$5.43 psf', 'Mid (18 total)', 'Partial', 'City view', '2015', 'Freehold', 'Condo', '19 mins ago', '1, 2 BR', '62', '2015', 'Freehold']","['City view', 'Renovated', 'Gym', 'Bomb shelter', 'Lounge', 'Swimming pool', 'Jacuzzi', 'Mid floor', 'Bbq', 'Balcony']"
14,"$3,500/mo",1 Bed Condo for Rent in The Pier @ Robertson,1 Bed,1 Bath,678 sqft,Orchard / River Valley (D9),"['$5.16 psf', 'Mid (10 total)', 'Fully', '2006', 'Freehold', 'Condo', '25 mins ago', 'Studio, 1, 2, 3 BR', '201', '2006', 'Freehold', 'City Developments Limited']","['Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Mid floor', 'Balcony', 'Bomb shelter', 'Closet', 'Tv', 'Wading pool', 'Playground', 'Dining room furniture', 'Washer', 'Bbq', 'Gym', 'Fridge', 'Dryer', 'Tennis court', 'Aircon', 'Sofa', 'Bed', 'Security', 'Lap pool']"
15,"$4,500/mo",3 Bed Condo for Rent in Sims Urban Oasis,3 Beds,2 Baths,"1,023 sqft",Eunos / Geylang / Paya Lebar (D14),"['$4.4 psf', 'High (18 total)', 'Partial', 'South', 'City view', '2017', '99-year leasehold', 'Condo', '26 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '1024', '2017', '99 Years', 'GuocoLand Limited']","['Clubhouse', 'Water feature', 'Stove', 'Timber deck', 'Jacuzzi', 'Oven', 'Pond', 'Outdoor dining', 'Balcony', 'Fun pool', 'City view', 'Pool deck', 'Playground', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Fridge', 'Dryer', 'Tennis court', 'Aircon', 'Sculpture', 'Swimming pool', 'Spa pool', 'Fitness corner', 'High floor', 'Lap pool']"
16,"$2,700/mo",Studio Condo for Rent in Seaside Residences,Studio,1 Bath,506 sqft,East Coast / Marine Parade (D15),"['$5.34 psf', 'Ground (27 total)', 'Partial', 'Greenery view', '2021', '99-year leasehold', 'Condo', '40 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '843', '2021', '99 Years', 'Frasers Property Singapore']","['Multi-purpose hall', 'Ground floor', 'Function room', 'Games room', 'Sky lounge', 'Yoga corner', 'Greenery view', 'Pool deck', 'Library', 'Tennis court', 'Lounge', 'Retail shops', 'Steam room', 'Playground', 'Fitness corner', 'Pavilion', 'Fibre ready', 'Lap pool', 'Gym', 'Bbq', 'Balcony']"
17,"$3,850/mo",2 Bed Condo for Rent in Park Place Residences at Plq,2 Beds,2 Baths,678 sqft,Eunos / Geylang / Paya Lebar (D14),"['$5.68 psf', 'High (17 total)', 'Fully', 'City view', '2020', '99-year leasehold', 'Condo', '40 mins ago', 'Studio, 1, 2, 3, 4 BR', '429', '2020', '99 Years', 'Roma Central Pte Ltd,Milano Central Pte Ltd,Verona Central Pte Ltd']","['City view', 'Patio / pes', 'Renovated', 'Aircon', 'High ceiling', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Closet', 'Dryer', 'Oven', 'Dining room furniture', 'High floor', 'Washer', 'Fibre ready', 'Balcony']"
18,"$3,000/mo",2 Bed Condo for Rent in Sky Vue,2 Beds,2 Baths,678 sqft,Ang Mo Kio / Bishan / Thomson (D20),"['$4.42 psf', 'High (37 total)', 'Fully', 'Greenery view', '2016', '99-year leasehold', 'Condo', '40 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '694', '2016', '99 Years']","['Function room', 'Stove', 'Oven', 'Outdoor dining', 'Balcony', 'City view', 'Renovated', 'Closet', 'Tv', 'Greenery view', 'Lounge', 'Wading pool', 'Playground', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Steam room', 'Tennis court', 'Karaoke', 'Aircon', 'Hammocks', 'Sofa', 'Bed', 'Swimming pool', 'Spa pool', 'Fitness corner', 'High floor', 'Lap pool']"
19,"$4,500/mo",3 Bed Condo for Rent in Trevista,3 Beds,3 Baths,"1,109 sqft",Balestier / Toa Payoh (D12),"['$4.06 psf', 'Fully', 'Greenery view', '2011', '99-year leasehold', 'Condo', '40 mins ago', 'Studio, 1, 2, 3, 4 BR', '590', '2011', '99 Years', 'Choice Homes Gamma Pte Ltd']","['Clubhouse', 'Parking', 'Pond', 'Balcony', 'Basketball court', 'Greenery view', 'Pool deck', 'Wading pool', 'Playground', 'Dining room furniture', 'Fibre ready', 'Gym', 'Fridge', 'Dryer', 'Steam room', 'Tennis court', 'Waterfall', 'Underwater fitness station', 'Reflexology path', 'Pavilion', 'Aircon', 'Sofa', 'Bed', 'Spa pool', 'Fitness corner', 'Security', 'Lap pool']"
20,"$3,700/mo",2 Bed Condo for Rent in Bedok Residences,2 Beds,2 Baths,882 sqft,Bedok / Upper East Coast (D16),"['$4.2 psf', 'Fully', 'East', 'Greenery view', '2015', '99-year leasehold', 'Condo', '39 mins ago', 'Studio, 1, 2, 3, 4 BR', '583', '2015', '99 Years', 'Brilliance Residential (1) Pte Ltd']","['Clubhouse', 'Function room', 'Water feature', 'High ceiling', 'Stove', 'Spa pavilion', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Renovated', 'Closet', 'Tv', 'Greenery view', 'Wading pool', 'Playground', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Hydrotherapy pool', 'Gym', 'Fridge', 'Sauna', 'Steam room', 'Tennis court', 'Infinity pool', 'Aircon', 'Sofa', 'Bed', 'Swimming pool', 'Fitness corner', 'Security', 'Retail shops', 'Lap pool']"
21,"$12,200/mo",4 Bed Condo for Rent in Skyline @ Orchard Boulevard,4 Beds,3 Baths,"2,067 sqft",Orchard / River Valley (D9),"['$5.9 psf', 'High (33 total)', 'Unfurnished', 'City view', '2015', 'Freehold', 'Condo', '39 mins ago', 'Studio, 2, 3, 4, 5, 6 BR', '40', '2015', 'Freehold', 'Far East Organization']","['Clubhouse', 'City view', 'Bathtub', 'Renovated', 'Aircon', 'Swimming pool', 'High ceiling', 'Duplex / maisonette', 'Sauna', 'Playground', 'Wading pool', 'Jacuzzi', 'Steam room', 'Study room', 'Parking', 'High floor', 'Security', 'Fibre ready', 'Lap pool', 'Bbq', 'Balcony']"
22,"$3,500/mo",2 Bed Condo for Rent in 8 @ Woodleigh,2 Beds,2 Baths,861 sqft,Macpherson / Potong Pasir (D13),"['$4.07 psf', 'Partial', 'Greenery view', '2012', '99-year leasehold', 'Condo', '40 mins ago', 'Studio, 1, 2, 3, 4 BR', '330', '2012', '99 Years', 'Frasers Centrepoint Homes']","['Clubhouse', 'Aircon', 'Closet', 'Greenery view', 'Gym', 'Fridge', 'Jacuzzi', 'Steam room', 'Tennis court', 'Fitness corner', 'Parking', 'Security', 'Lap pool', 'Stove', 'Bbq', 'Balcony']"
23,"$2,500/mo",1 Bed Condo for Rent in The Tapestry,1 Bed,1 Bath,474 sqft,Pasir Ris / Tampines (D18),"['$5.27 psf', 'Partial', 'Greenery view', '2021', '99-year leasehold', 'Condo', '39 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '861', '2021', '99 Years', 'City Developments Limited (CDL)']","['Jogging track', 'Pond', 'Outdoor dining', 'Balcony', 'Greenery view', 'Pool deck', 'Lounge', 'Wading pool', 'Hydrotherapy pool', 'Playground', 'Washer', 'Bbq', 'Hydrotherapy pool', 'Gym', 'Fridge', 'Dryer', 'Steam room', 'Tennis court', 'Infinity pool', 'Jet pool', 'Aircon', 'Hammocks', 'Lap pool', 'Viewing deck', 'Fitness corner', 'Security', 'Sculpture']"
24,"$11,200/mo",4 Bed Condo for Rent in Orchard Scotts,4 Beds,5 Baths,"2,207 sqft",Orchard / River Valley (D9),"['$5.07 psf', 'High (20 total)', 'Fully', '2007', '99-year leasehold', 'Condo', '37 mins ago', 'Studio, 1, 2, 3, 4 BR', '387', '2007', '99 Years', 'Golden Development Pte Ltd (Far East Oranisation)']","['Fitness corner', 'Dishwasher', 'Basketball court', 'Aircon', 'Gym', 'Fridge', 'Sauna', 'Jacuzzi', 'Swimming pool', 'Utility room', 'Dryer', 'Playground', 'Oven', 'Parking', 'High floor', 'Washer', 'Bathtub', 'Security', 'Bbq', 'Tennis court']"
25,"$4,800/mo",2 Bed Condo for Rent in Soleil @ Sinaran,2 Beds,2 Baths,958 sqft,Newton / Novena (D11),"['$5.01 psf', 'Fully', 'North West', '2011', '99-year leasehold', 'Condo', '39 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '417', '2011', '99 Years', 'Frasers Centrepoint Homes']","['Function room', 'Sky lounge', 'High ceiling', 'Stove', 'Spa pavilion', 'Oven', 'Parking', 'Sky terrace', 'Renovated', 'Closet', 'Tv', 'Pool deck', 'Lounge', 'Wading pool', 'Playground', 'Dining room furniture', 'Washer', 'Balcony', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Tennis court', 'Yoga corner', 'Pavilion', 'Aircon', 'Sofa', 'Bed', 'Swimming pool', 'Fitness corner', 'Security']"
26,"$2,600/mo",2 Bed Condo for Rent in Gambir Ridge,2 Beds,2 Baths,710 sqft,[],"['$3.66 psf', 'Low (5 total)', 'Partial', '2015', 'Freehold', 'Condo', '37 mins ago', '1, 2, 3, 4, 5 BR', '77', '2015', 'Freehold', 'Meadows Investment Pte Ltd']","['Security', 'Aircon', 'Closet', 'Sofa', 'Stove', 'Fridge', 'Low floor', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Parking', 'Dining room furniture', 'Washer', 'Lap pool', 'Gym', 'Balcony']"
27,"$8,900/mo",4 Bed Condo for Rent in Rosevale,4 Beds,3 Baths,"2,615 sqft",Newton / Novena (D11),"['$3.4 psf', 'Partial', '2003', 'Freehold', 'Apartment', '37 mins ago', '3, 4 BR', '32', '2003', 'Freehold', 'Arts Associate Company Pte Ltd (Far East Organization)']","['Aircon', 'Gym', 'Pool deck', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'Bbq', 'Balcony']"
28,"$3,900/mo",1 Bed Condo for Rent in Icon,1 Bed,2 Baths,786 sqft,Chinatown / Tanjong Pagar (D2),"['$4.96 psf', 'Partial', 'City view', '2007', '99-year leasehold', 'Apartment', '37 mins ago', 'Studio, 1, 2, 3 BR', '646', '2007', '99 Years', 'Lucky Pinnacle Pte Ltd (Far East)']","['Clubhouse', 'High ceiling', 'Stove', 'Walk in closet', 'Jacuzzi', 'City view', 'Closet', 'Tv', 'Wading pool', 'Hydrotherapy pool', 'Playground', 'Dining room furniture', 'Washer', 'Bbq', 'Hydrotherapy pool', 'Loft', 'Gym', 'Fridge', 'Sauna', 'Steam room', 'Tennis court', 'Jet pool', 'Aircon', 'Sofa', 'Open terrace', 'Bed', 'Security', 'Bathtub', 'Lap pool']"
29,"$6,500/mo",2 Bed Condo for Rent in Marina Bay Residences,2 Beds,2 Baths,"1,065 sqft",Boat Quay / Raffles Place / Marina (D1),"['$6.1 psf', 'High (55 total)', 'Partial', 'North East', 'City view', '2010', '99-year leasehold', 'Condo', '36 mins ago', '1, 2, 3, 4, 5, 6, 7 BR', '428', '2010', '99 Years', 'Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd']","['Clubhouse', 'High ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb shelter', 'Closet', 'Pool deck', 'Wading pool', 'Playground', 'Washer', 'Fibre ready', 'Hydrotherapy pool', 'Gym', 'City view', 'Fridge', 'Steam room', 'Aircon', 'High floor', 'Security', 'Bathtub', 'Lap pool']"
30,"$5,500/mo",2 Bed Condo for Rent in Nathan Place,2 Beds,2 Baths,"1,184 sqft",Tanglin / Holland (D10),"['$4.65 psf', 'Fully', '2006', 'Freehold', 'Condo', '33 mins ago', '1, 2 BR', '45', '2006', 'Freehold', 'Guocoland Limited']","['Clubhouse', 'Function room', 'Pavilion', 'Renovated', 'Aircon', 'Tv', 'Sofa', 'Stove', 'Pool deck', 'Fridge', 'Bed', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Parking', 'Security', 'Bathtub', 'Gym', 'Closet']"
31,"$6,900/mo",2 Bed Condo for Rent in The Scotts Tower,2 Beds,2 Baths,840 sqft,Orchard / River Valley (D9),"['$8.21 psf', 'High (31 total)', 'Partial', '2016', '103-year leasehold', 'Condo', '34 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '231', '2016', '103 Years', 'Far East Success']","['Aircon', 'High ceiling', 'Stove', 'Jacuzzi', 'Dryer', 'Oven', 'High floor', 'Washer', 'Lap pool', 'Gym', 'Balcony']"
32,"$10,000/mo",4 Bed Condo for Rent in Sky @ Eleven,4 Beds,4 Baths,"2,713 sqft",Newton / Novena (D11),"['$3.69 psf', 'High (42 total)', 'Partial', 'City view', '2010', 'Freehold', 'Condo', '36 mins ago', '3, 4, 5 BR', '273', '2010', 'Freehold', 'Times Development Pte Ltd (Singapore Press Holdings Ltd)']","['Clubhouse', 'Function room', 'Water feature', 'High ceiling', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb shelter', 'Renovated', 'Closet', 'Greenery view', 'Wading pool', 'Utility room', 'Playground', 'Washer', 'Pool view', 'Bbq', 'Gym', 'City view', 'Fridge', 'Dryer', 'Steam room', 'Sauna', 'Dishwasher', 'Fibre ready', 'Aircon', 'Maid room', 'Fitness corner', 'High floor', 'Security', 'Bathtub', 'Lap pool']"
33,"$3,200/mo",2 Bed Condo for Rent in The Panorama,2 Beds,2 Baths,775 sqft,Ang Mo Kio / Bishan / Thomson (D20),"['$4.13 psf', 'Ground (20 total)', 'Partial', 'Greenery view', '2019', '99-year leasehold', 'Condo', '26 mins ago', '1, 2, 3, 4, 5 BR', '698', '2019', '99 Years', 'Pinehill Investments Pte. Ltd.']","['Jogging track', 'Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Games room', 'Balcony', 'Jet pool', 'Greenery view', 'Lounge', 'Wading pool', 'Playground', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Hydrotherapy pool', 'Gym', 'Fridge', 'Underwater fitness station', 'Patio / pes', 'Ground floor', 'Yoga corner', 'Aircon', 'Reflexology path', 'Mini golf range', 'Fitness corner', 'Security', 'Lap pool']"
34,"$14,000/mo",4 Bed Condo for Rent in Cairnhill Plaza,4 Beds,5 Baths,"3,306 sqft",Orchard / River Valley (D9),"['$4.23 psf', 'High', 'Partial', 'South East', 'City view', '1978', 'Freehold', 'Condo', '1 min ago', '3, 4 BR', '204', '1978', 'Freehold', 'United Overseas Land Ltd']","['High ceiling', 'Stove', 'Squash court', 'Oven', 'Parking', 'Balcony', 'City view', 'Renovated', 'Closet', 'Greenery view', 'Utility room', 'Playground', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Aircon', 'Maid room', 'Swimming pool', 'High floor', 'Security', 'Bathtub']"
35,"$10,000/mo",3 Bed Condo for Rent in Wallich Residence,3 Beds,2 Baths,226 sqft,Chinatown / Tanjong Pagar (D2),"['$44.25 psf', 'High (64 total)', 'Fully', 'North', 'City view', '2016', '99-year leasehold', 'Condo', '43 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '181', '2016', '99 Years', 'Guocoland Limited']","['High ceiling', 'Stove', 'Library', 'Concierge', 'Jacuzzi', 'Oven', 'City view', 'Renovated', 'Closet', 'Lounge', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Infinity pool', 'Dishwasher', 'Aircon', 'Sofa', 'Bed', 'Viewing deck', 'High floor']"
36,"$4,900/mo",1 Bed Condo for Rent in The Scotts Tower,1 Bed,1 Bath,667 sqft,Orchard / River Valley (D9),"['$7.35 psf', 'High (31 total)', 'Fully', 'City view', '2016', '103-year leasehold', 'Condo', '36 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '231', '2016', '103 Years', 'Far East Success']","['City view', 'Renovated', 'Aircon', 'High ceiling', 'Sofa', 'Stove', 'Dishwasher', 'Bed', 'Fridge', 'Walk in closet', 'Jacuzzi', 'Oven', 'High floor', 'Washer', 'Lap pool', 'Gym', 'Balcony']"
37,"$5,000/mo",2 Bed Condo for Rent in The Rochester Residences,2 Beds,2 Baths,"1,432 sqft",Buona Vista / West Coast / Clementi (D5),"['$3.49 psf', 'Partial', 'South', '2011', '99-year leasehold', 'Condo', '42 mins ago', 'Studio, 1, 2, 3, 4 BR', '334', '2011', '99 Years', 'Ue One-North Developments Pte Ltd']","['Fibre ready', 'Closet', 'Aircon', 'Security', 'Jacuzzi', 'Stove', 'Fridge', 'Walk in closet', 'Swimming pool', 'Wading pool', 'Dryer', 'Playground', 'Oven', 'Parking', 'Washer', 'Bathtub', 'Gym', 'Bbq', 'Balcony']"
38,"$2,700/mo",2 Bed Condo for Rent in The Tapestry,2 Beds,1 Bath,603 sqft,Pasir Ris / Tampines (D18),"['$4.48 psf', 'Partial', '2021', '99-year leasehold', 'Condo', '42 mins ago', 'Studio, 1, 2, 3, 4, 5 BR', '861', '2021', '99 Years', 'City Developments Limited (CDL)']","['Jogging track', 'Pond', 'Outdoor dining', 'Balcony', 'Pool deck', 'Lounge', 'Wading pool', 'Hydrotherapy pool', 'Playground', 'Washer', 'Bbq', 'Hydrotherapy pool', 'Gym', 'Dryer', 'Steam room', 'Tennis court', 'Infinity pool', 'Jet pool', 'Aircon', 'Hammocks', 'Lap pool', 'Viewing deck', 'Fitness corner', 'Security', 'Sculpture']"
39,"$4,000/mo",2 Bed Condo for Rent in City Gate,2 Beds,2 Baths,800 sqft,Beach Road / Bugis / Rochor (D7),"['$5 psf', 'High (30 total)', 'Fully', 'South', 'City view', '2019', '99-year leasehold', 'Condo', '42 mins ago', 'Studio, 1, 2, 3, 4 BR', '311', '2019', '99 Years', 'Bayfront Ventures Pte Ltd']","['Clubhouse', 'Function room', 'Water feature', 'High ceiling', 'Stove', 'Jacuzzi', 'Fitness corner', 'Oven', 'Outdoor dining', 'Balcony', 'City view', 'Closet', 'Mini golf range', 'Greenery view', 'Lounge', 'Playground', 'Washer', 'Fibre ready', 'Bbq', 'Loft', 'Gym', 'Fridge', 'Dual key', 'Dryer', 'Jet pool', 'Yoga corner', 'Aircon', 'Bed', 'Viewing deck', 'Swimming pool', 'Sea view', 'Audio system', 'High floor', 'Reflexology path']"
40,"$3,600/mo",1 Bed Condo for Rent in Icon,1 Bed,1 Bath,657 sqft,Chinatown / Tanjong Pagar (D2),"['$5.48 psf', 'High (46 total)', 'Fully', 'South East', 'City view', '2007', '99-year leasehold', 'Condo', '1 hr ago', 'Studio, 1, 2, 3 BR', '646', '2007', '99 Years', 'Lucky Pinnacle Pte Ltd (Far East)']","['Clubhouse', 'High ceiling', 'Stove', 'Jacuzzi', 'Oven', 'City view', 'Closet', 'Tv', 'Duplex / maisonette', 'Wading pool', 'Hydrotherapy pool', 'Playground', 'Washer', 'Fibre ready', 'Bbq', 'Hydrotherapy pool', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Steam room', 'Tennis court', 'Jet pool', 'Aircon', 'Sofa', 'Open terrace', 'Bed', 'High floor', 'Security', 'Bathtub', 'Lap pool']"
